,sharpe,ann_return,ann_vol,max_drawdown,ann_exposure_turnover
Unmanaged Mkt-RF,0.4571095539,0.0653000037,0.1700783626,-0.7435742040,
Volatility-managed Mkt-RF,0.4748458852,0.0734457168,0.2012962764,-0.7965743827,31.0425336357
